year,buyer_id,target_id,buyer_lat,buyer_long,target_lat,target_long,price,hhi_target,num_stations_buyer,population_target,corp_owner_buyer
2007,1,1,46.592512,-92.549564,44.375073,-92.039543,157763.91,80,3,21676,0
2007,2,2,32.578185,-85.349003,33.025375,-86.059702,1472463.2,376,1,11539,0
2007,3,3,30.639867,-88.25445,31.122499,-87.766408,3786333.9,129,1,182265,0
2007,4,4,38.956806,-94.683236,36.196946,-94.006823,473291.74,188,20,203065,0
2007,5,5,41.054082,-73.536216,40.909898,-73.457023,1840579,284,0,1493350,0
2007,6,6,39.223416,-106.88277,39.269849,-107.02335,1104347.4,51,1,17148,0
2007,7,7,39.863544,-96.617219,39.442281,-98.05066,184057.9,58,4,6373,0
2007,8,8,38.819795,-121.27744,41.972979,-87.94712,17879910,82,208,916924,0
2007,9,9,33.786594,-118.29866,28.709332,-80.856849,25242226,34,37,543376,0
2007,10,10,42.443224,-114.6295,44.533039,-115.85844,946583.47,50,4,9862,0
2007,11,11,32.886576,-96.769578,46.887003,-113.97689,525879.71,72,82,109299,0
2007,12,12,40.384991,-104.68063,38.064413,-103.54521,131469.93,200,2,18831,0
2007,13,13,27.689785,-80.375726,35.624586,-105.21642,736231.59,80,4,29393,0
2007,14,14,34.722961,-88.903624,34.91756,-88.247253,383892.19,50,2,19593,0
2007,15,15,34.224892,-119.17749,35.718305,-120.87379,1262111.3,54,14,269637,0
2007,16,16,40.872531,-98.521343,41.210944,-103.68154,141987.52,58,10,3821,0
2007,17,17,33.876752,-84.329124,33.127209,-84.311263,3575982,73,1,17869,0
2007,18,18,33.786594,-118.29866,33.846663,-116.50528,18405790,13,16,2189641,0
2007,19,19,44.061451,-94.003112,44.181339,-93.836006,3292007,63,8,64013,0
2007,20,20,33.786594,-118.29866,36.408622,-119.62813,2313870.7,58,6,152982,0
2007,21,21,37.666579,-97.435012,37.251486,-96.743194,631055.65,65,1,36311,0
2007,22,22,40.84505,-96.698646,42.250033,-103.01126,378633.39,75,2,11308,0
2007,23,23,32.403111,-88.658234,32.503071,-89.030931,893995.5,82,1,21720,0
2007,24,24,48.704839,-95.750383,48.906401,-95.390933,399668.58,49,1,15629,0
2007,25,25,41.093763,-85.070713,41.729101,-84.896252,1840579,58,3,34185,0
2007,26,26,32.622225,-104.43333,33.391366,-104.53681,525879.71,94,3,65645,0
2007,27,27,35.990142,-83.96218,35.940507,-84.354363,2524222.6,49,1,54181,0
2007,28,28,33.842567,-116.528,33.846663,-116.50528,7888195.6,10,2,2189641,0
2007,29,29,32.502833,-92.094583,32.518943,-92.122592,946583.47,95,1,153720,0
2007,30,30,38.440061,-122.7106,38.224089,-122.43342,3050102.3,74,2,483878,0
2007,31,31,47.573816,-120.35188,48.21538,-118.96463,262939.85,40,1,41120,0
2007,32,32,41.819459,-71.4115,41.176425,-71.579931,2692504.1,41,1,126979,0
2007,33,33,39.84081,-85.010442,39.637829,-85.370131,1577639.1,94,3,17392,0
2007,34,34,42.239933,-83.150823,43.628078,-70.018443,3681157.9,57,61,281674,0
2007,35,35,44.132295,-87.599031,44.597933,-89.963225,283975.04,208,3,74749,0
2007,36,36,45.164862,-95.020124,44.307162,-94.452214,525879.71,63,1,25893,0
2007,37,37,32.781179,-96.790329,34.387467,-111.47034,6783848.2,73,4,53597,0
2007,38,38,34.298092,-110.03518,31.810338,-94.533708,420703.77,57,0,64524,0
2007,39,39,36.653256,-93.05634,37.372213,-92.419928,210351.88,75,1,18815,0
2007,40,40,33.786594,-118.29866,30.320606,-97.754546,21035188,70,0,1024266,0
